msx-confcontroller extendMyConf: add extended conf 102065302 into external conf set
msx-confcontroller extendMyConf: add extended conf 111156771 into external conf set
msx-confcontroller extendMyConf: add extended conf 1213349904 into external conf set
msx-confcontroller extendMyConf: add extended conf 125881207 into external conf set
msx-confcontroller extendMyConf: add extended conf 1519736165 into external conf set
msx-confcontroller extendMyConf: add extended conf 1527430292 into external conf set
msx-confcontroller extendMyConf: add extended conf 1690859824 into external conf set
msx-confcontroller extendMyConf: add extended conf 172032696 into external conf set
msx-confcontroller extendMyConf: add extended conf 1763344271 into external conf set
msx-confcontroller extendMyConf: add extended conf 1790421142 into external conf set
msx-confcontroller extendMyConf: add extended conf 1955915048 into external conf set
msx-confcontroller extendMyConf: add extended conf 2143431083 into external conf set
msx-confcontroller extendMyConf: add extended conf 282821294 into external conf set
msx-confcontroller extendMyConf: add extended conf 339099861 into external conf set
msx-confcontroller extendMyConf: add extended conf 380242442 into external conf set
msx-confcontroller extendMyConf: add extended conf 521960438 into external conf set
msx-confcontroller extendMyConf: add extended conf 558922244 into external conf set
msx-confcontroller extendMyConf: add extended conf 632587706 into external conf set
msx-confcontroller extendMyConf: add extended conf 700072760 into external conf set
msx-confcontroller extendMyConf: add extended conf 750468423 into external conf set
msx-confcontroller extendMyConf: add extended conf 785447854 into external conf set
msx-confcontroller extendMyConf: add extended conf 846947180 into external conf set
msx-confcontroller extendMyConf: add extended conf 874217650 into external conf set
msx-confcontroller gridmix.job-submission.use-queue-in-trace can be identified as reading from external conf 282821294
msx-confcontroller gridmix.job-submission.use-queue-in-trace can be identified as reading from external conf 785447854
msx-confcontroller gridmix.job-submission.use-queue-in-trace can be identified as reading from external conf 874217650
msx-confcontroller gridmix.task.jvm-options.enable can be identified as reading from external conf 1955915048
msx-confcontroller gridmix.task.jvm-options.enable can be identified as reading from external conf 785447854
msx-confcontroller gridmix.task.jvm-options.enable can be identified as reading from external conf 874217650
msx-confcontroller hadoop.kerberos.min.seconds.before.relogin can be identified as reading from external conf 2114874018
msx-confcontroller hadoop.security.auth_to_local can be identified as reading from external conf 2114874018
msx-confcontroller hadoop.security.auth_to_local.mechanism can be identified as reading from external conf 2114874018
msx-confcontroller hadoop.security.authentication can be identified as reading from external conf 2114874018
msx-confcontroller hadoop.security.dns.log-slow-lookups.enabled can be identified as reading from external conf 1682463303
msx-confcontroller hadoop.security.dns.log-slow-lookups.threshold.ms can be identified as reading from external conf 1682463303
msx-confcontroller hadoop.security.group.mapping can be identified as reading from external conf 2114874018
msx-confcontroller hadoop.security.groups.cache.background.reload can be identified as reading from external conf 2114874018
msx-confcontroller hadoop.security.groups.cache.background.reload.threads can be identified as reading from external conf 2114874018
msx-confcontroller hadoop.security.groups.cache.secs can be identified as reading from external conf 2114874018
msx-confcontroller hadoop.security.groups.cache.warn.after.ms can be identified as reading from external conf 2114874018
msx-confcontroller hadoop.security.groups.negative-cache.secs can be identified as reading from external conf 2114874018
msx-confcontroller hadoop.security.token.service.use_ip can be identified as reading from external conf 1682463303
msx-confcontroller hadoop.token.files can be identified as reading from external conf 2114874018
msx-confcontroller hadoop.user.group.metrics.percentiles.intervals can be identified as reading from external conf 2114874018
msx-confcontroller hadoop.user.group.static.mapping.overrides can be identified as reading from external conf 2114874018
msx-confcontroller mapred.child.java.opts can be identified as reading from external conf 1527430292
msx-confcontroller mapred.child.java.opts can be identified as reading from external conf 1690859824
msx-confcontroller mapred.child.java.opts can be identified as reading from external conf 1763344271
msx-confcontroller mapred.child.java.opts can be identified as reading from external conf 380242442
msx-confcontroller mapred.child.java.opts can be identified as reading from external conf 632587706
msx-confcontroller mapred.child.java.opts can be identified as reading from external conf 700072760
msx-confcontroller mapred.child.ulimit can be identified as reading from external conf 111156771
msx-confcontroller mapred.child.ulimit can be identified as reading from external conf 125881207
msx-confcontroller mapred.child.ulimit can be identified as reading from external conf 1519736165
msx-confcontroller mapred.child.ulimit can be identified as reading from external conf 1527430292
msx-confcontroller mapred.child.ulimit can be identified as reading from external conf 1690859824
msx-confcontroller mapred.child.ulimit can be identified as reading from external conf 1763344271
msx-confcontroller mapred.child.ulimit can be identified as reading from external conf 1790421142
msx-confcontroller mapred.child.ulimit can be identified as reading from external conf 2143431083
msx-confcontroller mapred.child.ulimit can be identified as reading from external conf 339099861
msx-confcontroller mapred.child.ulimit can be identified as reading from external conf 380242442
msx-confcontroller mapred.child.ulimit can be identified as reading from external conf 521960438
msx-confcontroller mapred.child.ulimit can be identified as reading from external conf 558922244
msx-confcontroller mapred.child.ulimit can be identified as reading from external conf 632587706
msx-confcontroller mapred.child.ulimit can be identified as reading from external conf 700072760
msx-confcontroller mapred.child.ulimit can be identified as reading from external conf 750468423
msx-confcontroller mapred.child.ulimit can be identified as reading from external conf 846947180
msx-confcontroller mapred.task.limit.maxvmem can be identified as reading from external conf 111156771
msx-confcontroller mapred.task.limit.maxvmem can be identified as reading from external conf 1527430292
msx-confcontroller mapred.task.limit.maxvmem can be identified as reading from external conf 1790421142
msx-confcontroller mapred.task.limit.maxvmem can be identified as reading from external conf 2143431083
msx-confcontroller mapred.task.limit.maxvmem can be identified as reading from external conf 380242442
msx-confcontroller mapred.task.limit.maxvmem can be identified as reading from external conf 558922244
msx-confcontroller mapred.task.maxvmem can be identified as reading from external conf 111156771
msx-confcontroller mapred.task.maxvmem can be identified as reading from external conf 125881207
msx-confcontroller mapred.task.maxvmem can be identified as reading from external conf 1519736165
msx-confcontroller mapred.task.maxvmem can be identified as reading from external conf 1527430292
msx-confcontroller mapred.task.maxvmem can be identified as reading from external conf 1690859824
msx-confcontroller mapred.task.maxvmem can be identified as reading from external conf 1763344271
msx-confcontroller mapred.task.maxvmem can be identified as reading from external conf 1790421142
msx-confcontroller mapred.task.maxvmem can be identified as reading from external conf 2143431083
msx-confcontroller mapred.task.maxvmem can be identified as reading from external conf 339099861
msx-confcontroller mapred.task.maxvmem can be identified as reading from external conf 380242442
msx-confcontroller mapred.task.maxvmem can be identified as reading from external conf 521960438
msx-confcontroller mapred.task.maxvmem can be identified as reading from external conf 558922244
msx-confcontroller mapred.task.maxvmem can be identified as reading from external conf 632587706
msx-confcontroller mapred.task.maxvmem can be identified as reading from external conf 700072760
msx-confcontroller mapred.task.maxvmem can be identified as reading from external conf 750468423
msx-confcontroller mapred.task.maxvmem can be identified as reading from external conf 846947180
msx-confcontroller mapreduce.admin.map.child.java.opts can be identified as reading from external conf 1527430292
msx-confcontroller mapreduce.admin.map.child.java.opts can be identified as reading from external conf 380242442
msx-confcontroller mapreduce.admin.map.child.java.opts can be identified as reading from external conf 700072760
msx-confcontroller mapreduce.admin.reduce.child.java.opts can be identified as reading from external conf 1527430292
msx-confcontroller mapreduce.admin.reduce.child.java.opts can be identified as reading from external conf 380242442
msx-confcontroller mapreduce.admin.reduce.child.java.opts can be identified as reading from external conf 700072760
msx-confcontroller mapreduce.cluster.mapmemory.mb can be identified as reading from external conf 111156771
msx-confcontroller mapreduce.cluster.mapmemory.mb can be identified as reading from external conf 125881207
msx-confcontroller mapreduce.cluster.mapmemory.mb can be identified as reading from external conf 1519736165
msx-confcontroller mapreduce.cluster.mapmemory.mb can be identified as reading from external conf 1527430292
msx-confcontroller mapreduce.cluster.mapmemory.mb can be identified as reading from external conf 1790421142
msx-confcontroller mapreduce.cluster.mapmemory.mb can be identified as reading from external conf 2143431083
msx-confcontroller mapreduce.cluster.mapmemory.mb can be identified as reading from external conf 339099861
msx-confcontroller mapreduce.cluster.mapmemory.mb can be identified as reading from external conf 380242442
msx-confcontroller mapreduce.cluster.mapmemory.mb can be identified as reading from external conf 521960438
msx-confcontroller mapreduce.cluster.mapmemory.mb can be identified as reading from external conf 558922244
msx-confcontroller mapreduce.cluster.mapmemory.mb can be identified as reading from external conf 750468423
msx-confcontroller mapreduce.cluster.mapmemory.mb can be identified as reading from external conf 846947180
msx-confcontroller mapreduce.cluster.reducememory.mb can be identified as reading from external conf 111156771
msx-confcontroller mapreduce.cluster.reducememory.mb can be identified as reading from external conf 125881207
msx-confcontroller mapreduce.cluster.reducememory.mb can be identified as reading from external conf 1519736165
msx-confcontroller mapreduce.cluster.reducememory.mb can be identified as reading from external conf 1527430292
msx-confcontroller mapreduce.cluster.reducememory.mb can be identified as reading from external conf 1790421142
msx-confcontroller mapreduce.cluster.reducememory.mb can be identified as reading from external conf 380242442
msx-confcontroller mapreduce.cluster.reducememory.mb can be identified as reading from external conf 521960438
msx-confcontroller mapreduce.cluster.reducememory.mb can be identified as reading from external conf 846947180
msx-confcontroller mapreduce.job.heap.memory-mb.ratio can be identified as reading from external conf 1527430292
msx-confcontroller mapreduce.job.heap.memory-mb.ratio can be identified as reading from external conf 380242442
msx-confcontroller mapreduce.job.heap.memory-mb.ratio can be identified as reading from external conf 700072760
msx-confcontroller mapreduce.jobtracker.maxmapmemory.mb can be identified as reading from external conf 111156771
msx-confcontroller mapreduce.jobtracker.maxmapmemory.mb can be identified as reading from external conf 2143431083
msx-confcontroller mapreduce.jobtracker.maxmapmemory.mb can be identified as reading from external conf 380242442
msx-confcontroller mapreduce.jobtracker.maxreducememory.mb can be identified as reading from external conf 111156771
msx-confcontroller mapreduce.jobtracker.maxreducememory.mb can be identified as reading from external conf 380242442
msx-confcontroller mapreduce.map.java.opts can be identified as reading from external conf 1527430292
msx-confcontroller mapreduce.map.java.opts can be identified as reading from external conf 1690859824
msx-confcontroller mapreduce.map.java.opts can be identified as reading from external conf 1763344271
msx-confcontroller mapreduce.map.java.opts can be identified as reading from external conf 380242442
msx-confcontroller mapreduce.map.java.opts can be identified as reading from external conf 632587706
msx-confcontroller mapreduce.map.java.opts can be identified as reading from external conf 700072760
msx-confcontroller mapreduce.map.memory.mb can be identified as reading from external conf 125881207
msx-confcontroller mapreduce.map.memory.mb can be identified as reading from external conf 1519736165
msx-confcontroller mapreduce.map.memory.mb can be identified as reading from external conf 1527430292
msx-confcontroller mapreduce.map.memory.mb can be identified as reading from external conf 1790421142
msx-confcontroller mapreduce.map.memory.mb can be identified as reading from external conf 2143431083
msx-confcontroller mapreduce.map.memory.mb can be identified as reading from external conf 339099861
msx-confcontroller mapreduce.map.memory.mb can be identified as reading from external conf 380242442
msx-confcontroller mapreduce.map.memory.mb can be identified as reading from external conf 521960438
msx-confcontroller mapreduce.map.memory.mb can be identified as reading from external conf 558922244
msx-confcontroller mapreduce.map.memory.mb can be identified as reading from external conf 700072760
msx-confcontroller mapreduce.map.memory.mb can be identified as reading from external conf 750468423
msx-confcontroller mapreduce.map.memory.mb can be identified as reading from external conf 846947180
msx-confcontroller mapreduce.map.ulimit can be identified as reading from external conf 111156771
msx-confcontroller mapreduce.map.ulimit can be identified as reading from external conf 125881207
msx-confcontroller mapreduce.map.ulimit can be identified as reading from external conf 1519736165
msx-confcontroller mapreduce.map.ulimit can be identified as reading from external conf 1527430292
msx-confcontroller mapreduce.map.ulimit can be identified as reading from external conf 1690859824
msx-confcontroller mapreduce.map.ulimit can be identified as reading from external conf 1763344271
msx-confcontroller mapreduce.map.ulimit can be identified as reading from external conf 1790421142
msx-confcontroller mapreduce.map.ulimit can be identified as reading from external conf 2143431083
msx-confcontroller mapreduce.map.ulimit can be identified as reading from external conf 339099861
msx-confcontroller mapreduce.map.ulimit can be identified as reading from external conf 380242442
msx-confcontroller mapreduce.map.ulimit can be identified as reading from external conf 521960438
msx-confcontroller mapreduce.map.ulimit can be identified as reading from external conf 558922244
msx-confcontroller mapreduce.map.ulimit can be identified as reading from external conf 632587706
msx-confcontroller mapreduce.map.ulimit can be identified as reading from external conf 700072760
msx-confcontroller mapreduce.map.ulimit can be identified as reading from external conf 750468423
msx-confcontroller mapreduce.map.ulimit can be identified as reading from external conf 846947180
msx-confcontroller mapreduce.reduce.java.opts can be identified as reading from external conf 1527430292
msx-confcontroller mapreduce.reduce.java.opts can be identified as reading from external conf 1690859824
msx-confcontroller mapreduce.reduce.java.opts can be identified as reading from external conf 1763344271
msx-confcontroller mapreduce.reduce.java.opts can be identified as reading from external conf 380242442
msx-confcontroller mapreduce.reduce.java.opts can be identified as reading from external conf 632587706
msx-confcontroller mapreduce.reduce.java.opts can be identified as reading from external conf 700072760
msx-confcontroller mapreduce.reduce.memory.mb can be identified as reading from external conf 111156771
msx-confcontroller mapreduce.reduce.memory.mb can be identified as reading from external conf 125881207
msx-confcontroller mapreduce.reduce.memory.mb can be identified as reading from external conf 1519736165
msx-confcontroller mapreduce.reduce.memory.mb can be identified as reading from external conf 1527430292
msx-confcontroller mapreduce.reduce.memory.mb can be identified as reading from external conf 1790421142
msx-confcontroller mapreduce.reduce.memory.mb can be identified as reading from external conf 380242442
msx-confcontroller mapreduce.reduce.memory.mb can be identified as reading from external conf 521960438
msx-confcontroller mapreduce.reduce.memory.mb can be identified as reading from external conf 700072760
msx-confcontroller mapreduce.reduce.memory.mb can be identified as reading from external conf 846947180
msx-confcontroller mapreduce.reduce.ulimit can be identified as reading from external conf 111156771
msx-confcontroller mapreduce.reduce.ulimit can be identified as reading from external conf 125881207
msx-confcontroller mapreduce.reduce.ulimit can be identified as reading from external conf 1519736165
msx-confcontroller mapreduce.reduce.ulimit can be identified as reading from external conf 1527430292
msx-confcontroller mapreduce.reduce.ulimit can be identified as reading from external conf 1690859824
msx-confcontroller mapreduce.reduce.ulimit can be identified as reading from external conf 1763344271
msx-confcontroller mapreduce.reduce.ulimit can be identified as reading from external conf 1790421142
msx-confcontroller mapreduce.reduce.ulimit can be identified as reading from external conf 2143431083
msx-confcontroller mapreduce.reduce.ulimit can be identified as reading from external conf 339099861
msx-confcontroller mapreduce.reduce.ulimit can be identified as reading from external conf 380242442
msx-confcontroller mapreduce.reduce.ulimit can be identified as reading from external conf 521960438
msx-confcontroller mapreduce.reduce.ulimit can be identified as reading from external conf 558922244
msx-confcontroller mapreduce.reduce.ulimit can be identified as reading from external conf 632587706
msx-confcontroller mapreduce.reduce.ulimit can be identified as reading from external conf 700072760
msx-confcontroller mapreduce.reduce.ulimit can be identified as reading from external conf 750468423
msx-confcontroller mapreduce.reduce.ulimit can be identified as reading from external conf 846947180
msx-confcontroller registerOrphanConf: add early conf 1172131546 into externalConfSet
msx-confcontroller registerOrphanConf: add early conf 1216590855 into externalConfSet
msx-confcontroller registerOrphanConf: add early conf 1259769769 into externalConfSet
msx-confcontroller registerOrphanConf: add early conf 1270855946 into externalConfSet
msx-confcontroller registerOrphanConf: add early conf 1344199921 into externalConfSet
msx-confcontroller registerOrphanConf: add early conf 1353170030 into externalConfSet
msx-confcontroller registerOrphanConf: add early conf 1371006431 into externalConfSet
msx-confcontroller registerOrphanConf: add early conf 1384010761 into externalConfSet
msx-confcontroller registerOrphanConf: add early conf 1436664465 into externalConfSet
msx-confcontroller registerOrphanConf: add early conf 1653986196 into externalConfSet
msx-confcontroller registerOrphanConf: add early conf 1682463303 into externalConfSet
msx-confcontroller registerOrphanConf: add early conf 2114874018 into externalConfSet
msx-confcontroller registerOrphanConf: add early conf 299644693 into externalConfSet
msx-confcontroller registerOrphanConf: add early conf 556529265 into externalConfSet
msx-confcontroller registerOrphanConf: add early conf 63001505 into externalConfSet
msx-confcontroller registerOrphanConf: add early conf 704024720 into externalConfSet
msx-confcontroller registerOrphanConf: add early conf 726950788 into externalConfSet
msx-confcontroller v17.0 reconf_vvmode=none, reconf_h_list=[]
msx-listener INFO: nameRemovePara = org.apache.hadoop.mapred.gridmix.TestHighRamJob#testHighRamFeatureEmulation
msx-listener INFO: write result to file /root/ZebraConf/runner/shared/test_results/org.apache.hadoop.mapred.gridmix.TestHighRamJob#testHighRamFeatureEmulation
msx-listener INFO: writeFile, the original testName is org.apache.hadoop.mapred.gridmix.TestHighRamJob#testHighRamFeatureEmulation
msx-listener all testRunFinished
msx-listener succeed
msx-listener test started org.apache.hadoop.mapred.gridmix.TestHighRamJob#testHighRamFeatureEmulation
msx-listener testfinished org.apache.hadoop.mapred.gridmix.TestHighRamJob#testHighRamFeatureEmulation
msx-listener unitTestCounterInClass = 0
msx-output-log /root/hadoop-3.2.1-src/hadoop-tools/hadoop-gridmix/target/surefire-reports/org.apache.hadoop.mapred.gridmix.TestHighRamJob-output.txt
msx-rc 0
